scan_number,time0,time1,time2,time3
2117,2023-10-13T15:40:08+00:00,2023-10-13T15:37:21+00:00,2023-10-13T15:35:15+00:00,2023-10-13T15:42:29+00:00
2118,2023-10-13T15:40:13+00:00,2023-10-13T15:37:26+00:00,2023-10-13T15:35:20+00:00,2023-10-13T15:42:34+00:00
2119,2023-10-13T15:40:18+00:00,2023-10-13T15:37:31+00:00,2023-10-13T15:35:25+00:00,2023-10-13T15:42:39+00:00
2120,2023-10-13T15:40:23+00:00,2023-10-13T15:37:36+00:00,2023-10-13T15:35:30+00:00,2023-10-13T15:42:44+00:00
2121,2023-10-13T15:40:33+00:00,2023-10-13T15:37:41+00:00,2023-10-13T15:35:35+00:00,2023-10-13T15:42:49+00:00
2122,2023-10-13T15:40:33+00:00,2023-10-13T15:37:46+00:00,2023-10-13T15:35:40+00:00,2023-10-13T15:42:54+00:00
2123,2023-10-13T15:40:38+00:00,2023-10-13T15:37:52+00:00,2023-10-13T15:35:45+00:00,2023-10-13T15:42:59+00:00
2124,2023-10-13T15:40:43+00:00,2023-10-13T15:37:56+00:00,2023-10-13T15:35:50+00:00,2023-10-13T15:43:04+00:00
2125,2023-10-13T15:40:48+00:00,2023-10-13T15:38:01+00:00,2023-10-13T15:35:55+00:00,2023-10-13T15:43:09+00:00
2126,2023-10-13T15:40:54+00:00,2023-10-13T15:38:06+00:00,2023-10-13T15:36:00+00:00,2023-10-13T15:43:14+00:00
2127,2023-10-13T15:40:59+00:00,2023-10-13T15:38:12+00:00,2023-10-13T15:36:05+00:00,2023-10-13T15:43:19+00:00
2128,2023-10-13T15:41:04+00:00,2023-10-13T15:38:17+00:00,2023-10-13T15:36:10+00:00,2023-10-13T15:43:24+00:00
2129,2023-10-13T15:41:09+00:00,2023-10-13T15:38:22+00:00,2023-10-13T15:36:15+00:00,2023-10-13T15:43:29+00:00
2130,2023-10-13T15:41:14+00:00,2023-10-13T15:38:27+00:00,2023-10-13T15:36:20+00:00,2023-10-13T15:43:34+00:00
2131,2023-10-13T15:41:19+00:00,2023-10-13T15:38:31+00:00,2023-10-13T15:36:25+00:00,2023-10-13T15:43:39+00:00
2132,2023-10-13T15:41:24+00:00,2023-10-13T15:38:37+00:00,2023-10-13T15:36:30+00:00,2023-10-13T15:43:44+00:00
2133,2023-10-13T15:41:29+00:00,2023-10-13T15:38:41+00:00,2023-10-13T15:36:35+00:00,2023-10-13T15:43:49+00:00
2134,2023-10-13T15:41:34+00:00,2023-10-13T15:38:46+00:00,2023-10-13T15:36:40+00:00,2023-10-13T15:43:54+00:00
2135,2023-10-13T15:41:39+00:00,2023-10-13T15:38:51+00:00,2023-10-13T15:36:45+00:00,2023-10-13T15:43:59+00:00
2136,2023-10-13T15:41:44+00:00,2023-10-13T15:38:57+00:00,2023-10-13T15:36:50+00:00,2023-10-13T15:44:04+00:00
2137,2023-10-13T15:41:49+00:00,2023-10-13T15:39:02+00:00,2023-10-13T15:36:55+00:00,2023-10-13T15:44:10+00:00
2138,2023-10-13T15:41:54+00:00,2023-10-13T15:39:07+00:00,2023-10-13T15:37:00+00:00,2023-10-13T15:44:14+00:00
2139,2023-10-13T15:41:59+00:00,2023-10-13T15:39:12+00:00,2023-10-13T15:37:05+00:00,2023-10-13T15:44:24+00:00
2140,2023-10-13T15:42:04+00:00,2023-10-13T15:39:17+00:00,2023-10-13T15:37:10+00:00,2023-10-13T15:44:24+00:00
2141,2023-10-13T15:42:09+00:00,2023-10-13T15:39:22+00:00,2023-10-13T15:37:15+00:00,2023-10-13T15:44:29+00:00
2142,2023-10-13T15:42:14+00:00,2023-10-13T15:39:27+00:00,2023-10-13T15:37:20+00:00,2023-10-13T15:44:35+00:00
2143,2023-10-13T15:42:19+00:00,2023-10-13T15:39:32+00:00,2023-10-13T15:37:25+00:00,2023-10-13T15:44:39+00:00
2144,2023-10-13T15:42:24+00:00,2023-10-13T15:39:37+00:00,2023-10-13T15:37:30+00:00,2023-10-13T15:44:44+00:00
2145,2023-10-13T15:42:29+00:00,2023-10-13T15:39:42+00:00,2023-10-13T15:37:35+00:00,2023-10-13T15:44:50+00:00
2146,2023-10-13T15:42:34+00:00,2023-10-13T15:39:47+00:00,2023-10-13T15:37:40+00:00,2023-10-13T15:44:55+00:00
2147,2023-10-13T15:42:39+00:00,2023-10-13T15:39:52+00:00,2023-10-13T15:37:50+00:00,2023-10-13T15:45:00+00:00
2148,2023-10-13T15:42:44+00:00,2023-10-13T15:39:57+00:00,2023-10-13T15:37:50+00:00,2023-10-13T15:45:05+00:00
2149,2023-10-13T15:42:49+00:00,2023-10-13T15:40:02+00:00,2023-10-13T15:37:55+00:00,2023-10-13T15:45:09+00:00
2150,2023-10-13T15:42:54+00:00,2023-10-13T15:40:07+00:00,2023-10-13T15:38:05+00:00,2023-10-13T15:45:15+00:00
2151,2023-10-13T15:42:59+00:00,2023-10-13T15:40:12+00:00,2023-10-13T15:38:05+00:00,2023-10-13T15:45:20+00:00
2152,2023-10-13T15:43:04+00:00,2023-10-13T15:40:17+00:00,2023-10-13T15:38:10+00:00,2023-10-13T15:45:25+00:00
2153,2023-10-13T15:43:09+00:00,2023-10-13T15:40:22+00:00,2023-10-13T15:38:15+00:00,2023-10-13T15:45:30+00:00
2154,2023-10-13T15:43:14+00:00,2023-10-13T15:40:27+00:00,2023-10-13T15:38:25+00:00,2023-10-13T15:45:35+00:00
2155,2023-10-13T15:43:19+00:00,2023-10-13T15:40:37+00:00,2023-10-13T15:38:25+00:00,2023-10-13T15:45:40+00:00
2156,2023-10-13T15:43:24+00:00,2023-10-13T15:40:37+00:00,2023-10-13T15:38:30+00:00,2023-10-13T15:45:45+00:00
2157,2023-10-13T15:43:29+00:00,2023-10-13T15:40:42+00:00,2023-10-13T15:38:35+00:00,2023-10-13T15:45:50+00:00
2158,2023-10-13T15:43:34+00:00,2023-10-13T15:40:52+00:00,2023-10-13T15:38:45+00:00,2023-10-13T15:45:55+00:00
2159,2023-10-13T15:43:39+00:00,2023-10-13T15:40:57+00:00,2023-10-13T15:38:45+00:00,2023-10-13T15:46:00+00:00
2160,2023-10-13T15:43:44+00:00,2023-10-13T15:40:57+00:00,2023-10-13T15:38:50+00:00,2023-10-13T15:46:05+00:00
2161,2023-10-13T15:43:49+00:00,2023-10-13T15:41:02+00:00,2023-10-13T15:39:00+00:00,2023-10-13T15:46:10+00:00
2162,2023-10-13T15:43:54+00:00,2023-10-13T15:41:07+00:00,2023-10-13T15:39:00+00:00,2023-10-13T15:46:15+00:00
2163,2023-10-13T15:43:59+00:00,2023-10-13T15:41:12+00:00,2023-10-13T15:39:05+00:00,2023-10-13T15:46:20+00:00
2164,2023-10-13T15:44:04+00:00,2023-10-13T15:41:17+00:00,2023-10-13T15:39:10+00:00,2023-10-13T15:46:25+00:00
2165,2023-10-13T15:44:09+00:00,2023-10-13T15:41:22+00:00,2023-10-13T15:39:15+00:00,2023-10-13T15:46:30+00:00
2166,2023-10-13T15:44:14+00:00,2023-10-13T15:41:27+00:00,2023-10-13T15:39:20+00:00,2023-10-13T15:46:35+00:00
2167,2023-10-13T15:44:19+00:00,2023-10-13T15:41:32+00:00,2023-10-13T15:39:25+00:00,2023-10-13T15:46:40+00:00
2168,2023-10-13T15:44:24+00:00,2023-10-13T15:41:37+00:00,2023-10-13T15:39:30+00:00,2023-10-13T15:46:45+00:00
2169,2023-10-13T15:44:29+00:00,2023-10-13T15:41:42+00:00,2023-10-13T15:39:35+00:00,2023-10-13T15:46:50+00:00
2170,2023-10-13T15:44:34+00:00,2023-10-13T15:41:47+00:00,2023-10-13T15:39:40+00:00,2023-10-13T15:46:55+00:00
2171,2023-10-13T15:44:39+00:00,2023-10-13T15:41:52+00:00,2023-10-13T15:39:45+00:00,2023-10-13T15:47:00+00:00
2172,2023-10-13T15:44:44+00:00,2023-10-13T15:41:57+00:00,2023-10-13T15:39:50+00:00,2023-10-13T15:47:05+00:00
2173,2023-10-13T15:44:49+00:00,2023-10-13T15:42:02+00:00,2023-10-13T15:39:55+00:00,2023-10-13T15:47:10+00:00
2174,2023-10-13T15:44:54+00:00,2023-10-13T15:42:07+00:00,2023-10-13T15:40:00+00:00,2023-10-13T15:47:15+00:00
2175,2023-10-13T15:44:59+00:00,2023-10-13T15:42:12+00:00,2023-10-13T15:40:05+00:00,2023-10-13T15:47:20+00:00
2176,2023-10-13T15:45:04+00:00,2023-10-13T15:42:17+00:00,2023-10-13T15:40:10+00:00,2023-10-13T15:47:25+00:00
2177,2023-10-13T15:45:09+00:00,2023-10-13T15:42:22+00:00,2023-10-13T15:40:15+00:00,2023-10-13T15:47:30+00:00
2178,2023-10-13T15:45:14+00:00,2023-10-13T15:42:27+00:00,2023-10-13T15:40:20+00:00,2023-10-13T15:47:35+00:00
2179,2023-10-13T15:45:19+00:00,2023-10-13T15:42:32+00:00,2023-10-13T15:40:26+00:00,2023-10-13T15:47:40+00:00
2180,2023-10-13T15:45:24+00:00,2023-10-13T15:42:37+00:00,2023-10-13T15:40:30+00:00,2023-10-13T15:47:45+00:00
2181,2023-10-13T15:45:29+00:00,2023-10-13T15:42:42+00:00,2023-10-13T15:40:36+00:00,2023-10-13T15:47:50+00:00
2182,2023-10-13T15:45:34+00:00,2023-10-13T15:42:47+00:00,2023-10-13T15:40:41+00:00,2023-10-13T15:47:55+00:00
2183,2023-10-13T15:45:39+00:00,2023-10-13T15:42:52+00:00,2023-10-13T15:40:46+00:00,2023-10-13T15:48:00+00:00
