distiller_id,scan_number,nersc_write_time,ncem_created_time,time_difference_seconds
3931,4423,2023-10-13 16:51:20,2023-10-13 16:50:54,26.0
3932,4424,2023-10-13 16:52:13,2023-10-13 16:51:49,24.0
3933,4425,2023-10-13 16:53:08,2023-10-13 16:52:44,24.0
3934,4426,2023-10-13 16:54:03,2023-10-13 16:53:39,24.0
3935,4427,2023-10-13 16:54:58,2023-10-13 16:54:34,24.0
3936,4428,2023-10-13 16:55:54,2023-10-13 16:55:29,25.0
3937,4429,2023-10-13 16:56:50,2023-10-13 16:56:24,26.0
3938,4430,2023-10-13 16:57:42,2023-10-13 16:57:19,23.0
3939,4431,2023-10-13 16:58:38,2023-10-13 16:58:14,24.0
3940,4432,2023-10-13 16:59:33,2023-10-13 16:59:09,24.0
3941,4433,2023-10-13 17:00:28,2023-10-13 17:00:04,24.0
3942,4434,2023-10-13 17:01:25,2023-10-13 17:00:59,26.0
3943,4435,2023-10-13 17:02:21,2023-10-13 17:01:54,27.0
3944,4436,2023-10-13 17:03:15,2023-10-13 17:02:49,26.0
3945,4437,2023-10-13 17:04:10,2023-10-13 17:03:44,26.0
3946,4438,2023-10-13 17:05:05,2023-10-13 17:04:39,26.0
3947,4439,2023-10-13 17:05:58,2023-10-13 17:05:34,24.0
3948,4440,2023-10-13 17:06:58,2023-10-13 17:06:29,29.0
3949,4441,2023-10-13 17:07:50,2023-10-13 17:07:24,26.0
3950,4442,2023-10-13 17:08:46,2023-10-13 17:08:19,27.0
3951,4443,2023-10-13 17:09:39,2023-10-13 17:09:14,25.0
3952,4444,2023-10-13 17:10:35,2023-10-13 17:10:09,26.0
3953,4445,2023-10-13 17:11:28,2023-10-13 17:11:04,24.0
3954,4446,2023-10-13 17:12:25,2023-10-13 17:11:59,26.0
3955,4447,2023-10-13 17:13:20,2023-10-13 17:12:54,26.0
3956,4448,2023-10-13 17:14:13,2023-10-13 17:13:49,24.0
3957,4449,2023-10-13 17:15:09,2023-10-13 17:14:44,25.0
3958,4450,2023-10-13 17:16:03,2023-10-13 17:15:39,24.0
3959,4451,2023-10-13 17:16:59,2023-10-13 17:16:34,25.0
3960,4452,2023-10-13 17:17:53,2023-10-13 17:17:29,24.0
3961,4453,2023-10-13 17:18:53,2023-10-13 17:18:24,29.0
3962,4454,2023-10-13 17:19:43,2023-10-13 17:19:19,24.0
3963,4455,2023-10-13 17:20:38,2023-10-13 17:20:14,24.0
3964,4456,2023-10-13 17:21:34,2023-10-13 17:21:09,25.0
3965,4457,2023-10-13 17:22:32,2023-10-13 17:22:04,28.0
3966,4458,2023-10-13 17:23:23,2023-10-13 17:22:59,24.0
3967,4459,2023-10-13 17:24:17,2023-10-13 17:23:54,23.0
3968,4460,2023-10-13 17:25:13,2023-10-13 17:24:49,24.0
3969,4461,2023-10-13 17:26:08,2023-10-13 17:25:44,24.0
3970,4462,2023-10-13 17:27:03,2023-10-13 17:26:39,24.0
3971,4463,2023-10-13 17:27:59,2023-10-13 17:27:34,25.0
3972,4464,2023-10-13 17:28:53,2023-10-13 17:28:29,24.0
3973,4465,2023-10-13 17:29:49,2023-10-13 17:29:24,25.0
3974,4466,2023-10-13 17:30:43,2023-10-13 17:30:19,24.0
3975,4467,2023-10-13 17:31:42,2023-10-13 17:31:14,28.0
3976,4468,2023-10-13 17:32:33,2023-10-13 17:32:09,24.0
3977,4469,2023-10-13 17:33:29,2023-10-13 17:33:04,25.0
3978,4470,2023-10-13 17:34:24,2023-10-13 17:33:59,25.0
3979,4471,2023-10-13 17:35:19,2023-10-13 17:34:54,25.0
3980,4472,2023-10-13 17:36:14,2023-10-13 17:35:49,25.0
3981,4473,2023-10-13 17:37:09,2023-10-13 17:36:44,25.0
3982,4474,2023-10-13 17:38:06,2023-10-13 17:37:39,27.0
3983,4475,2023-10-13 17:39:00,2023-10-13 17:38:34,26.0
3984,4476,2023-10-13 17:39:55,2023-10-13 17:39:29,26.0
3985,4477,2023-10-13 17:40:49,2023-10-13 17:40:24,25.0
3986,4478,2023-10-13 17:41:44,2023-10-13 17:41:19,25.0
3988,4479,2023-10-13 17:42:39,2023-10-13 17:42:14,25.0
3989,4480,2023-10-13 17:43:34,2023-10-13 17:43:09,25.0
3990,4481,2023-10-13 17:44:30,2023-10-13 17:44:04,26.0
3991,4482,2023-10-13 17:45:24,2023-10-13 17:44:59,25.0
3992,4483,2023-10-13 17:46:20,2023-10-13 17:45:54,26.0
3993,4484,2023-10-13 17:47:15,2023-10-13 17:46:49,26.0
3994,4485,2023-10-13 17:48:10,2023-10-13 17:47:44,26.0
3995,4486,2023-10-13 17:49:05,2023-10-13 17:48:39,26.0
3996,4487,2023-10-13 17:50:02,2023-10-13 17:49:34,28.0
3997,4488,2023-10-13 17:50:54,2023-10-13 17:50:29,25.0
3998,4489,2023-10-13 17:51:53,2023-10-13 17:51:24,29.0
3999,4490,2023-10-13 17:52:44,2023-10-13 17:52:19,25.0
4000,4491,2023-10-13 17:53:39,2023-10-13 17:53:14,25.0
4001,4492,2023-10-13 17:54:33,2023-10-13 17:54:09,24.0
4002,4493,2023-10-13 17:55:29,2023-10-13 17:55:05,24.0
4003,4494,2023-10-13 17:56:24,2023-10-13 17:55:59,25.0
4004,4495,2023-10-13 17:57:19,2023-10-13 17:56:54,25.0
4005,4496,2023-10-13 17:58:13,2023-10-13 17:57:49,24.0
4006,4497,2023-10-13 17:59:15,2023-10-13 17:58:44,31.0
4007,4498,2023-10-13 18:00:06,2023-10-13 17:59:39,27.0
4008,4499,2023-10-13 18:01:04,2023-10-13 18:00:34,30.0
4009,4500,2023-10-13 18:01:53,2023-10-13 18:01:30,23.0
4010,4501,2023-10-13 18:02:49,2023-10-13 18:02:24,25.0
4011,4502,2023-10-13 18:03:43,2023-10-13 18:03:19,24.0
4012,4503,2023-10-13 18:04:38,2023-10-13 18:04:14,24.0
4013,4504,2023-10-13 18:05:34,2023-10-13 18:05:09,25.0
4014,4505,2023-10-13 18:06:29,2023-10-13 18:06:04,25.0
4015,4506,2023-10-13 18:07:24,2023-10-13 18:06:59,25.0
4016,4507,2023-10-13 18:08:20,2023-10-13 18:07:54,26.0
