scan_number,time0,time1,time2,time3,time_last_written
4860,2023-10-17T17:24:05+00:00,2023-10-17T17:24:05+00:00,2023-10-17T17:24:06+00:00,2023-10-17T17:24:16+00:00,2023-10-17T17:24:08+00:00
4861,2023-10-17T17:24:15+00:00,2023-10-17T17:24:15+00:00,2023-10-17T17:24:16+00:00,2023-10-17T17:24:16+00:00,2023-10-17T17:24:18+00:00
4862,2023-10-17T17:24:25+00:00,2023-10-17T17:24:25+00:00,2023-10-17T17:24:26+00:00,2023-10-17T17:24:26+00:00,2023-10-17T17:24:29+00:00
4863,2023-10-17T17:24:35+00:00,2023-10-17T17:24:35+00:00,2023-10-17T17:24:36+00:00,2023-10-17T17:24:36+00:00,2023-10-17T17:24:38+00:00
4864,2023-10-17T17:24:45+00:00,2023-10-17T17:24:45+00:00,2023-10-17T17:24:46+00:00,2023-10-17T17:24:46+00:00,2023-10-17T17:24:48+00:00
4865,2023-10-17T17:24:56+00:00,2023-10-17T17:24:55+00:00,2023-10-17T17:24:56+00:00,2023-10-17T17:24:56+00:00,2023-10-17T17:24:58+00:00
4866,2023-10-17T17:25:05+00:00,2023-10-17T17:25:05+00:00,2023-10-17T17:25:06+00:00,2023-10-17T17:25:16+00:00,2023-10-17T17:25:08+00:00
4867,2023-10-17T17:25:15+00:00,2023-10-17T17:25:15+00:00,2023-10-17T17:25:16+00:00,2023-10-17T17:25:16+00:00,2023-10-17T17:25:18+00:00
4868,2023-10-17T17:25:25+00:00,2023-10-17T17:25:25+00:00,2023-10-17T17:25:26+00:00,2023-10-17T17:25:26+00:00,2023-10-17T17:25:29+00:00
4869,2023-10-17T17:25:36+00:00,2023-10-17T17:25:35+00:00,2023-10-17T17:25:36+00:00,2023-10-17T17:25:36+00:00,2023-10-17T17:25:38+00:00
4870,2023-10-17T17:25:46+00:00,2023-10-17T17:25:45+00:00,2023-10-17T17:25:46+00:00,2023-10-17T17:25:46+00:00,2023-10-17T17:25:48+00:00
4871,2023-10-17T17:25:55+00:00,2023-10-17T17:25:56+00:00,2023-10-17T17:25:56+00:00,2023-10-17T17:25:56+00:00,2023-10-17T17:25:58+00:00
4872,2023-10-17T17:26:06+00:00,2023-10-17T17:26:05+00:00,2023-10-17T17:26:06+00:00,2023-10-17T17:26:16+00:00,2023-10-17T17:26:08+00:00
4873,2023-10-17T17:26:16+00:00,2023-10-17T17:26:16+00:00,2023-10-17T17:26:16+00:00,2023-10-17T17:26:16+00:00,2023-10-17T17:26:18+00:00
4874,2023-10-17T17:26:26+00:00,2023-10-17T17:26:26+00:00,2023-10-17T17:26:26+00:00,2023-10-17T17:26:26+00:00,2023-10-17T17:26:28+00:00
4875,2023-10-17T17:26:36+00:00,2023-10-17T17:26:36+00:00,2023-10-17T17:26:36+00:00,2023-10-17T17:26:36+00:00,2023-10-17T17:26:38+00:00
4876,2023-10-17T17:26:46+00:00,2023-10-17T17:26:45+00:00,2023-10-17T17:26:46+00:00,2023-10-17T17:26:46+00:00,2023-10-17T17:26:48+00:00
4877,2023-10-17T17:26:56+00:00,2023-10-17T17:26:55+00:00,2023-10-17T17:27:06+00:00,2023-10-17T17:26:56+00:00,2023-10-17T17:26:58+00:00
4878,2023-10-17T17:27:06+00:00,2023-10-17T17:27:05+00:00,2023-10-17T17:27:06+00:00,2023-10-17T17:27:06+00:00,2023-10-17T17:27:08+00:00
4879,2023-10-17T17:27:16+00:00,2023-10-17T17:27:16+00:00,2023-10-17T17:27:26+00:00,2023-10-17T17:27:16+00:00,2023-10-17T17:27:18+00:00
4880,2023-10-17T17:27:26+00:00,2023-10-17T17:27:26+00:00,2023-10-17T17:27:26+00:00,2023-10-17T17:27:26+00:00,2023-10-17T17:27:29+00:00
4881,2023-10-17T17:27:36+00:00,2023-10-17T17:27:36+00:00,2023-10-17T17:27:36+00:00,2023-10-17T17:27:36+00:00,2023-10-17T17:27:38+00:00
4882,2023-10-17T17:27:46+00:00,2023-10-17T17:27:46+00:00,2023-10-17T17:27:46+00:00,2023-10-17T17:27:46+00:00,2023-10-17T17:27:48+00:00
4883,2023-10-17T17:27:56+00:00,2023-10-17T17:27:56+00:00,2023-10-17T17:28:06+00:00,2023-10-17T17:27:56+00:00,2023-10-17T17:27:58+00:00
4884,2023-10-17T17:28:06+00:00,2023-10-17T17:28:06+00:00,2023-10-17T17:28:06+00:00,2023-10-17T17:28:06+00:00,2023-10-17T17:28:08+00:00
4885,2023-10-17T17:28:16+00:00,2023-10-17T17:28:16+00:00,2023-10-17T17:28:16+00:00,2023-10-17T17:28:16+00:00,2023-10-17T17:28:19+00:00
4886,2023-10-17T17:28:26+00:00,2023-10-17T17:28:26+00:00,2023-10-17T17:28:26+00:00,2023-10-17T17:28:26+00:00,2023-10-17T17:28:28+00:00
