id,slurm_id,elapsed
12709,16888213,00:05:49
12732,16894348,00:05:57
12748,16896098,00:05:43
12713,16889160,00:05:22
12733,16894510,00:05:46
12705,16886849,00:05:43
12193,15577008,00:04:32
12268,15628386,00:04:20
12207,15585155,00:04:20
12704,16886951,00:06:07
12269,15628586,00:04:02
12214,15617540,00:09:10
12231,,
12236,15624977,00:04:56
12238,15625116,00:04:21
12240,15625304,00:04:45
12712,16888740,00:05:39
12242,15625424,00:07:44
12250,,
12695,16880842,00:06:17
12728,16893195,00:09:53
12694,16875773,00:05:31
12722,16891079,00:06:40
12747,16896057,00:05:56
12218,15617691,00:04:15
12696,16883890,00:05:26
12697,16884872,00:05:21
12754,16897106,00:07:52
12698,16885064,00:05:26
12190,15564382,00:04:29
12196,15581631,00:04:39
12205,15584195,00:04:24
12209,15588084,00:04:59
12249,15626107,00:04:52
12703,16886193,00:05:45
12192,15574063,00:04:22
12708,16887883,00:05:30
12254,15626324,00:06:20
12729,16893791,00:06:12
12699,16885671,00:05:33
12736,16894735,00:05:53
12706,16887344,00:08:24
12195,15581088,00:04:27
12222,15621645,00:04:33
12710,16888387,00:05:28
12246,15625836,00:05:15
12746,16895993,00:06:07
12265,15627972,00:04:25
12718,16890383,00:05:26
12700,16886004,00:06:05
12721,16891074,00:06:43
12727,16892901,00:06:38
12197,15581659,00:00:13
12702,16886102,00:09:04
12201,15583380,00:06:00
12199,15583389,00:05:45
12227,15624049,00:05:01
12752,16896625,00:05:49
12234,15624858,00:05:48
12239,15625238,00:04:11
12720,16890576,00:07:51
12197,15581825,00:05:02
12199,15582443,00:04:17
12744,16895837,00:05:59
12219,15617852,00:04:54
12253,15626301,00:05:53
12750,16896217,00:05:45
12707,16887350,00:06:18
12198,15581922,00:04:34
12222,15618185,00:04:25
12228,15624173,00:04:23
12232,,
12711,16888571,00:09:09
12719,16890574,00:06:17
12753,16896784,00:05:50
12204,15583950,00:04:33
12714,16889361,00:05:25
12741,16895690,00:06:07
12755,16897713,00:06:16
12756,16897729,00:07:07
12248,15626041,00:05:54
12208,15586115,00:04:40
12250,15626323,00:08:41
12256,15626708,00:04:18
12210,15588589,00:09:48
12213,15588651,00:09:35
12226,15623892,00:04:37
12229,15624460,00:06:24
12230,15624464,00:06:08
12715,16889880,00:06:27
12266,15628123,00:08:15
12244,15625621,00:04:37
12731,16894129,00:06:11
12734,16894586,00:05:44
12740,16895588,00:05:55
12211,15588592,00:09:27
12212,15588594,00:09:28
12749,16896137,00:05:52
12716,16889888,00:06:35
12725,16892409,00:05:46
12247,15626043,00:05:51
12215,15617542,00:09:08
12216,15617543,00:09:05
12217,15617546,00:09:03
12723,16891487,00:05:47
12223,15622373,00:05:41
12224,15622376,00:05:39
12724,16891847,00:05:48
12221,15618065,00:04:34
12251,15626320,00:08:41
12726,16892897,00:06:32
12263,15627728,00:04:20
12742,16895731,00:05:58
12225,15623403,00:04:49
12237,15625027,00:04:46
12757,16898632,00:06:00
12758,16898637,00:05:56
12737,16894974,00:07:37
12232,15624758,00:07:06
12738,16895217,00:05:33
12743,16895785,00:05:43
12233,15624763,00:06:36
12233,15624868,00:05:46
12239,15625432,00:07:07
12255,15626486,00:04:14
12739,16895418,00:06:00
12243,15625542,00:04:26
12745,16895939,00:05:55
12258,15626793,00:04:49
12252,,
12554,16442072,00:05:23
12556,16442180,00:06:12
12751,16896306,00:06:02
12252,15626318,00:08:27
12542,16441608,00:05:18
12557,16442272,00:05:17
12257,15626756,00:04:32
12584,16444317,00:06:12
12260,15627160,00:06:03
12267,15628335,00:04:14
12558,16442378,00:06:25
12550,16442182,00:30:22
12262,15627522,00:04:37
12540,16441391,00:05:23
12264,15627914,00:04:26
12535,16440312,00:07:38
12552,16441950,00:00:45
12270,15628698,00:04:32
12544,16441766,00:05:29
12543,16441678,00:05:22
12561,16443212,00:05:01
12271,15628947,00:04:44
12585,16444326,00:06:16
12539,16441308,00:06:03
12272,15629027,00:04:52
12545,16441795,00:05:28
12280,15633048,00:04:37
12282,15635162,00:05:34
12579,16443753,00:06:25
12578,16443757,00:06:37
12273,15629101,00:04:39
12583,16444238,00:06:25
12274,15629445,00:04:42
12279,15632699,00:04:51
12275,15629587,00:06:21
12564,16442814,00:05:39
12549,16441939,00:06:48
12533,16440307,00:07:40
12534,16440308,00:07:44
12538,16441305,00:06:03
12550,16441931,00:30:29
12541,16441576,00:05:02
12562,16442484,00:05:19
12276,15630428,00:04:35
12281,15633056,00:00:19
